player_name,Nationality,Preferred Foot,Date of Birth,appearances_,sub_appearances,XA,pass_attempts,pass_accuracy,long_pass_attempts,long_pass_accuracy,Minutes Played,Duels Won,Total Tackles,Interceptions,Blocks,Red Cards,Yellow Cards,XG,Touches in the Opposition Box,Aerial Duels Won,Assists,Shots On Target Inside the Box,cross_attempts,cross_accuracy,dribble_attempts,dribble_accuracy,Fouls,Goals,Hit Woodwork,Offsides,Shots On Target Outside the Box,Corners Taken,Appearances,free_kick_attempts,free_kicks_scored,Passes,Own Goals,Penalties Taken,Goals Conceded,Clean Sheets,Saves Made,Penalties Faced,penalty_attempts,penalties_scored,penalties_saved,penalty_save_precentage
Joelinton,Brazil,Right,14/08/1996,0,0,2.33,1010,84,31,52,2404,166,57,23,7,0,10,3.95,86,59,3,19,16,19,43,35,58,4,0,7,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Julián Araujo,Mexico,Right,13/08/2001,12,5,0.1,191,82,19,32,497,15,10,6,0,0,2,0.0,2,3,0,0,9,22,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Archer,England,Right,09/12/2001,35,22,0.73,247,83,6,50,1432,50,13,2,1,0,0,5.72,57,9,0,16,0,0,35,43,16,2,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alphonse Areola,France,Right,27/02/1993,26,1,0.0,865,66,438,37,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,82,0,0,0,0,0
Joe Aribo,Nigeria,Left,21/07/1996,32,11,1.25,1031,90,31,52,2018,121,47,20,11,0,1,2.7,46,26,0,8,10,20,43,49,20,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Armstrong,England,Right,10/02/1997,20,5,0.57,269,84,10,40,1252,28,12,3,1,0,4,3.28,52,5,2,12,14,21,14,43,12,2,1,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Harrison Armstrong,England,Right,19/01/2007,3,3,0.0,13,54,4,25,47,3,0,0,0,0,1,0.37,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Armstrong,Scotland,Right,30/03/1992,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa,Spain,Right,03/10/1994,0,0,0.0,901,70,436,40,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,0,0,0,0,0,39,8,97,4,0,0,0,0
Benjamin Arthur,England,Right,09/10/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Asensio,Spain,Left,21/01/1996,13,4,1.16,272,86,10,50,745,27,7,2,1,0,2,4.43,30,0,1,8,19,16,17,71,11,3,1,2,5,23,0,1,1,0,0,2,0,0,0,0,0,0,0,0
Harrison Ashby,Scotland,Right,14/11/2001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noël Atom,Germany,Left,05/01/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Austin,England,Right,08/01/1999,0,0,0.0,27,67,13,31,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0
Taiwo Awoniyi,Nigeria,Right,12/08/1997,26,23,0.12,94,65,4,25,400,33,6,0,0,0,0,2.12,23,14,0,4,0,0,9,44,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yasin Ayari,Sweden,Right,06/10/2003,34,12,2.64,900,85,37,32,1966,119,59,20,6,0,4,2.44,48,16,1,9,22,27,36,50,37,2,1,3,3,37,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Jordan Ayew,Ghana,Right,11/09/1991,31,12,0.01,483,80,26,35,1664,151,28,12,2,0,6,0.46,58,40,0,0,32,22,58,45,31,5,0,7,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Leon Ayinde,Ireland,n/a,05/09/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan Aït-Nouri,Algeria,Left,06/06/2001,0,0,4.0,1377,87,65,32,3127,220,89,26,6,1,5,2.69,104,22,7,20,63,22,119,53,30,4,1,6,4,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Benoît Badiashile,France,Left,26/03/2001,5,2,0.08,303,90,22,59,333,19,9,6,2,0,0,0.0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elkan Baggott,Indonesia,Left,23/10/2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Bailey,Jamaica,Left,09/08/1997,24,10,2.95,352,78,21,67,1143,53,7,3,0,0,3,1.73,74,6,2,13,25,8,46,48,12,1,3,3,0,17,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Stefan Bajcetic,Spain,Right,22/10/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benicio Baker-Boaitey,England,n/a,09/01/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellery Balcombe,England,Right,15/10/1999,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Baleba,Cameroon,Left,03/01/2004,34,3,1.21,1300,88,112,58,2670,199,79,46,11,1,6,3.08,14,39,1,4,9,33,53,62,40,3,1,0,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dominic Ball,England,Right,02/08/1995,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dom Ballard,England,n/a,01/04/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emilio Ballard-Matthews,England,Both,11/08/2008,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodé Ballo-Touré,Senegal,Left,03/01/1997,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandon Baptiste,Grenada,Right,08/04/1998,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Pereira,Portugal,Right,06/10/1993,10,6,0.08,210,83,13,77,385,31,13,4,3,0,1,0.09,5,4,0,0,0,0,8,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentín Barco,Argentina,Left,23/07/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Barker,England,Right,23/02/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Barkley,England,Right,05/12/1993,20,17,0.43,392,86,16,56,569,35,14,10,3,0,3,1.76,19,6,1,4,0,0,16,75,8,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Barnes,England,Right,09/12/1997,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Barnett,England,Right,03/08/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enzo Barrenechea,Argentina,Left,22/05/2001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Barrington,England,n/a,12/12/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Bassey,Nigeria,Left,31/12/1999,35,1,0.44,2137,90,183,49,3074,144,54,20,17,0,7,1.02,19,44,0,4,8,13,26,58,26,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum Bates,England,Right,28/09/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevie Bausor,England,n/a,11/05/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altay Bayindir,Turkey,Right,14/04/1998,0,0,0.0,140,57,77,27,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,1,8,0,0,0,0,0
Gavin Bazunu,Ireland,Right,20/02/2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Beach,Wales,Right,09/10/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Beck,Wales,Left,09/08/2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,Brazil,Right,02/10/1992,0,0,0.0,829,81,240,36,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,29,9,78,1,0,0,0,0
Jan Bednarek,Poland,Right,12/04/1996,0,0,0.85,1683,93,104,59,2535,123,36,56,36,0,7,0.65,15,72,0,2,0,0,0,0,31,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmir Begovic,Bosnia & Herzegovina,Right,20/06/1987,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armel Bella-Kotchap,Germany,Right,11/12/2001,4,2,0.02,223,91,18,39,329,15,7,5,2,0,0,0.32,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Ricner Bellegarde,France,Right,27/06/1998,35,15,2.75,551,83,28,50,1681,110,39,10,3,0,3,1.53,50,10,7,4,38,29,45,31,31,2,0,1,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Steven Benda,Germany,Right,01/10/1998,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewys Benjamin,Wales,n/a,28/11/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Bennett,England,Right,30/10/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saïd Benrahma,Algeria,Right,10/08/1995,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Bentancur,Uruguay,Right,25/06/1997,26,5,1.0,1068,88,39,59,1653,95,40,40,8,0,9,1.33,26,36,0,8,4,50,17,53,34,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Bentley,England,Right,13/07/1993,0,0,0.0,59,73,25,36,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,8,0,0,0,0,0
Sander Berge,Norway,Right,14/02/1998,31,5,0.63,1189,92,85,69,2227,99,50,21,8,0,6,0.35,14,28,0,2,0,0,17,65,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Bergström,Finland,Right,05/09/2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Bergvall,Sweden,Right,02/02/2006,27,16,0.82,688,89,43,67,1206,86,39,24,8,0,3,0.7,23,9,1,7,11,27,41,51,20,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Bettinelli,England,Right,24/05/1992,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
